time,observed,lower,median,upper,truth
426,27.259136385797436,27.233709729888346,27.478231035403873,27.632878548898464,27.556000000000097
427,28.913949788805816,27.257134902685046,27.476067616949955,27.63366582696843,27.562000000000097
428,28.93099027214679,27.24443213703114,27.495266013217375,27.645464209257053,27.568000000000097
429,26.851396849650158,27.229361717166945,27.487233774792283,27.651757039436347,27.574000000000098
430,28.682669748329182,27.24099116009746,27.512763947713548,27.658049869615642,27.580000000000098
431,28.211329144792103,27.242348130942702,27.503816207503395,27.666274030286022,27.586000000000094
432,25.798826582151385,27.230762698701138,27.49315566065802,27.665828981337214,27.5920000000001
433,24.451348811388925,27.238435758102916,27.491742201450684,27.669993177805555,27.5980000000001
434,28.90232215612344,27.23690828597799,27.50860560457503,27.67642273029883,27.6040000000001
435,28.097910232820496,27.27214067886198,27.50657090916497,27.682926737624012,27.6100000000001
436,28.711326729936403,27.287356570788045,27.52435101795175,27.700101763082596,27.6160000000001
437,28.866609644188845,27.283136714982092,27.517938091698404,27.695850681992223,27.6220000000001
438,28.61144779281168,27.28988985349773,27.54431953090085,27.702415580411827,27.6280000000001
439,26.648479705224897,27.28336183455253,27.527694618728226,27.70874062488849,27.6340000000001
440,29.62600544998581,27.29249412954006,27.554306223884826,27.72090744490589,27.6400000000001
441,25.89583090516546,27.29037268123344,27.558660936399196,27.72035674786544,27.6460000000001
442,26.177109576095,27.310146292887865,27.588394916071067,27.728232147656932,27.6520000000001
443,28.052981564261813,27.318864794211105,27.5943989498206,27.74402415927936,27.6580000000001
444,26.658554481385277,27.363223510111297,27.62459004408666,27.775423686276707,27.6640000000001
445,27.66565559607808,27.361550704107774,27.653793633114006,27.8220567243429,27.6700000000001
446,27.563341658993195,27.37108089360838,27.667969743930826,27.85447535494333,27.6760000000001
447,27.917411228505028,27.401391518535778,27.66865893714831,27.83703485511358,27.6820000000001
448,30.022961832914188,27.409989849823628,27.672617145855334,27.824772594644926,27.688000000000105
449,27.756532693584948,27.417905034422464,27.672207918210496,27.852494419291826,27.694000000000106
450,28.56253967465888,27.423661739929575,27.67771585861126,27.844358891370277,27.700000000000102
451,27.33443036075565,27.435748637566586,27.68264548643412,27.842573988211704,27.706000000000103
452,28.43289550711128,27.45142308805058,27.68439561829964,27.83152484112326,27.712000000000103
453,26.746125945809524,27.425586183072518,27.6810427267241,27.832246410259998,27.718000000000103
454,28.15013012342968,27.488402300264095,27.68764694326206,27.82680249567645,27.724000000000103
455,29.24481807808269,27.511160836304477,27.69697216847418,27.83548140257773,27.730000000000103
456,27.307179980886087,27.524984916654855,27.714810072770238,27.85875792901122,27.736000000000104
457,29.111684197721974,27.51606259994105,27.711952658017914,27.849575515562588,27.742000000000104
458,27.962852445822296,27.538614670759056,27.716644394235693,27.84092625925763,27.748000000000104
459,27.87577579058677,27.536446516160634,27.718248806639544,27.858772320041194,27.754000000000104
460,26.857210599694724,27.553511262781264,27.725871133211513,27.870418194923904,27.760000000000105
461,27.810986474335223,27.55787324749358,27.73772522951541,27.876747522471184,27.766000000000105
462,28.920183842651465,27.549726847610714,27.743519492648247,27.88308983672903,27.772000000000105
463,28.889094770363357,27.56605640515787,27.75227608599709,27.89216055855721,27.778000000000105
464,29.24014242612834,27.58486584007277,27.74159224578911,27.88286816193692,27.784000000000106
465,29.280748010079083,27.59984224246913,27.746200487882238,27.88495917466424,27.790000000000106
466,28.34906217808238,27.599652691121154,27.75559938524733,27.8854395745912,27.796000000000102
467,28.71359920187257,27.591110452696036,27.756859623038068,27.890634105709303,27.802000000000103
468,29.871011929962386,27.59137550082118,27.76432535752359,27.89690449093175,27.808000000000103
469,26.722977899117705,27.596649877108845,27.78725513876242,27.926866367185337,27.814000000000107
470,28.74063632327412,27.60944478575705,27.79569405822052,27.932016464391697,27.820000000000107
471,28.344470736363927,27.635593139236484,27.79907770458302,27.938463950661415,27.826000000000107
472,26.77127861155957,27.68215761428072,27.81214275928311,27.95101067195091,27.832000000000107
473,27.199422182907867,27.66931611933751,27.812395104039794,27.949562400009686,27.838000000000108
474,29.30408376401891,27.674672064978385,27.815998252557677,27.942862837082153,27.844000000000108
475,32.23816314743539,27.684252845564426,27.832531723206014,27.96622284100091,27.850000000000108
476,27.894270793055853,27.67904085155226,27.856780330548986,28.008433302108198,27.85600000000011
